163,0,3,Jabin,Jabin
164,0,1,Jacob,Jacob
165,0,3,Jael,Jael
166,0,3,Jair,Jair
167,0,3,Jairus,Jairus
168,0,1,"James, the Apostle",James
169,0,2,"James, the Epistle Writer",James
170,0,3,Japheth,Japheth
171,1,3,Jason,Jason
172,0,3,Jedidah,Jedidah
173,0,3,Jehoaddan,Jehoaddan
174,0,3,"Jehoahaz, King of Israel",Jehoahaz
175,0,3,"Jehoahaz, King of Judah",Jehoahaz
176,0,3,Jehoiachin,Jehoiachin
177,0,3,Jehoiada,Jehoiada
178,0,3,Jehoiakim,Jehoiakim
179,0,3,Jehoram,Jehoram
180,0,2,Jehoshaphat,Jehoshaphat
181,0,3,Jehosheba,Jehosheba
182,0,2,Jehu,Jehu
183,0,3,Jemimah ,Jemimah 
184,0,2,Jeremiah,Jeremiah
185,0,3,Jeroboam 1,Jeroboam 1
186,0,3,Jeroboam 2,Jeroboam 2
187,0,3,Jerusha ,Jerusha 
188,0,3,Jeshua,Jeshua
189,0,2,Jesse,Jesse
190,1,1,Jesus,Jesus
191,0,2,Jethro,Jethro
192,0,2,Jezebel,Jezebel
193,0,3,Jezreel,Jezreel
194,0,3,Joab,Joab
195,1,3,Joanna,Joanna
196,0,3,Joash,Joash
197,0,1,Job,Job
198,0,3,Jochebed,Jochebed
199,0,1,John the Apostle,John
200,0,1,John the Baptist,John
201,0,1,Jonah,Jonah
202,0,2,Jonathan,Jonathan
203,1,2,Joseph of Arimathea,Joseph
204,1,2,"Joseph, father of Jesus",Joseph
205,0,1,"Joseph, son of Jacob",Joseph
206,0,1,Joshua,Joshua
207,0,3,Josiah,Josiah
208,0,3,"Jotham, King of Judah",Jotham
209,0,3,"Jotham, son of Gideon",Jotham
210,1,1,Judas,Judas
211,1,2,Jude,Jude
212,1,3,Julius,Julius
213,0,3,Keren-Happuch,Keren-Happuch
214,0,3,Keturah,Keturah
215,0,3,Keziah,Keziah
216,0,3,Kish,Kish
217,0,3,Kohath,Kohath
218,0,3,Korah,Korah
219,0,2,Laban,Laban
220,0,3,Lamech,Lamech
221,1,1,Lazarus,Lazarus
222,0,3,Leah,Leah
223,0,3,Levi,Levi
224,0,3,Lot,Lot
225,1,2,Luke,Luke
226,1,3,Lydia,Lydia
227,0,3,Maakah,Maakah
228,0,3,Machir,Machir
229,0,3,Malachi,Malachi
230,1,2,Malchus,Malchus
231,0,3,Manasseh,Manasseh
232,0,3,Manoah,Manoah
233,1,2,Mark,Mark
234,1,1,Martha,Martha
235,1,1,Mary the Mother of Jesus,Mary
236,1,1,Mary Magdalene,Mary
237,1,3,Mary the Mother of James and Joseph,Mary
238,1,3,Mary the Mother of John Mark,Mary
239,1,2,Mary the Sister of Martha,Mary
240,1,2,Matthew,Matthew
241,1,3,Matthias,Matthias
242,0,2,Melchizedek,Melchizedek
243,0,3,Menahem,Menahem
244,0,3,Merab,Merab
245,0,3,Merari,Merari
246,0,3,Mesha,Mesha
247,0,2,Meshach,Meshach
248,0,1,Methuselah,Methuselah
249,0,3,Micah,Micah
250,0,3,Micaiah,Micaiah
251,0,2,Michael,Michael
252,0,2,Michal,Michal
253,0,3,Milkah,Milkah
254,0,1,Miriam,Miriam
255,0,3,Moab,Moab
256,0,1,Mordecai,Mordecai
